title,artist,link
Bust of Queen Nefertiti (Coloured),NA,/record/20621?highlight=*:*
Untitled (1967),Laurence Roche,/record/22480?highlight=*:*
Untitled (1954),Ian Hodkinson,/record/111041?highlight=*:*
Minoan Fertility Goddess Figurines (2017),Daisy Silver,/record/100015?highlight=*:*
Portrait of a Man (1968),Donald C S Shaw,/record/21403?highlight=*:*
Figures and Sunshine (1962),Leon Francesco Morrocco,/record/21400?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,/record/50444?highlight=*:*
North Berwick from Belhaven Bay (Unknown),Catherine Orbach,/record/21792?highlight=*:*
Untitled (2007),Rob Hunter,/record/99893?highlight=*:*
Reclining Female Nude (1953),Mary Edmond,/record/20895?highlight=*:*
Portrait of a Man (1951),James Wilson,/record/21226?highlight=*:*
Graveyard and Church Ruins,Alistair Hartleby (?),/record/21498?highlight=*:*
Unknown (18 May 1948),Edward A. Gage,/record/50630?highlight=*:*
Unknown,Unknown,/record/53541?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1957 (1993-1994),Jane Watt,/record/99459?highlight=*:*
Portrait of a Man (1959),John O'Neill,/record/21154?highlight=*:*
Hyde Park,Unknown,/record/50476?highlight=*:*
Archway,Louise Allardyce,/record/21524?highlight=*:*
Untitled (1980),Unknown,/record/99824?highlight=*:*
Untitled - Portrait of a Man (1968),Alistair Bell,/record/99378?highlight=*:*
Seated Man in Traditional Dress (1960s),Barreton,/record/21290?highlight=*:*
Unknown (Unknown),Unknown,/record/21904?highlight=*:*
Homage to Ernest Hemingway (Circa 1967),Michael Docherty,/record/20750?highlight=*:*
Teacup,Emma Gillies,/record/53647?highlight=*:*
Shell-Shapes (1989),Dorothy Black,/record/21973?highlight=*:*
Landscape (Circa 1988),Arlene Isbister,/record/22604?highlight=*:*
Seated Female Nude (1953),Laura Nye,/record/21117?highlight=*:*
Untitled (2006),Siri Gossman,/record/99883?highlight=*:*
Beginning (Unknown),Unknown,/record/21926?highlight=*:*
Portrait of a Man (1959),Jean I. Beattie,/record/20919?highlight=*:*
Untitled (Unknown),S J Dooley,/record/99911?highlight=*:*
Untitled (2007),Vikki Hill,/record/99966?highlight=*:*
Untitled (Unknown),Donald Clark,/record/21636?highlight=*:*
Trafalgar Square (1963),Unknown,/record/21773?highlight=*:*
Seated Nude Woman (1951),James P W Syme,/record/22513?highlight=*:*
Unknown (1969),Brent D. Millar,/record/50378?highlight=*:*
Coupar,Unknown,/record/50409?highlight=*:*
Espresso Saucer,Emma Gillies,/record/53682?highlight=*:*
Lucius Junius Brutus,NA,/record/20561?highlight=*:*
Unknown (1953),Maurice Chamberlain,/record/50559?highlight=*:*
Woman (1966),James H. Fairgrieve,/record/22617?highlight=*:*
Portrait of a Woman (1957),Colin Turner,/record/21144?highlight=*:*
Unknown (1949),Betty Elston,/record/50583?highlight=*:*
Untitled,Anne Waterhouse,/record/112342?highlight=*:*
Man with Spring Plants (1953),Leonard Baskin,/record/21687?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,/record/20694?highlight=*:*
Untitled - Portrait of a Girl (1963),L. Allan,/record/99383?highlight=*:*
Untitled (1986),Sylvia Cameron,/record/21716?highlight=*:*
Standing Woman (1965),William Gillon,/record/21315?highlight=*:*
Standing Male Nude (Dec 1951),M McKeown,/record/21225?highlight=*:*
Portrait of Standing Woman seen from behind,Jacqueline A N Stieger,/record/20822?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,/record/20671?highlight=*:*
Portrait of a Young Woman (1965),Irene Scott,/record/21292?highlight=*:*
Drawing of a Man's Head (1955),James Robertson,/record/20804?highlight=*:*
Self Portrait against Window (Circa 1983),Gwen W. Hardie,/record/22593?highlight=*:*
Seated Female Nude (Circa 1968),Alan T. Johnston,/record/20748?highlight=*:*
Untitled - Figured Drawing of Nude Woman on a Couch (1963),Gordon Bryce,/record/99329?highlight=*:*
Portrait of a Seated Woman (1958),Peter Standen,/record/20865?highlight=*:*
Racing Circuit (1987-1988),Jane V Hyslop,/record/21456?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,/record/22716?highlight=*:*
etc (2006),Catherine Robbie,/record/99865?highlight=*:*
"Still Life with Jug of Flowers, Goblet and Fruit",Sir William George Gillies,/record/20753?highlight=*:*
Male Nude Leaning on a Table (verso),Unknown,/record/22650?highlight=*:*
Virgin and Child,Unknown,/record/20571?highlight=*:*
Sienna Cathedral (1982),Ann Oram,/record/102660?highlight=*:*
Plate,Emma Gillies,/record/53674?highlight=*:*
